charge_at_pH_val,gravy,molecular_weight,aromaticity,instability_index,isoelectric_point,secondary_structure_fraction (helix),secondary_structure_fraction (turn),secondary_structure_fraction (sheet),molar_extinction_coefficient (reduced),molar_extinction_coefficient (oxidized)
120.935248,-0.450289017,97586.9976,0.100578035,41.20336416,5.945324516,0.301734104,0.23583815,0.230057803,127090,127715
120.935248,-0.450289017,97586.9976,0.100578035,41.20336416,5.945324516,0.301734104,0.23583815,0.230057803,127090,127715
120.935248,-0.450289017,97586.9976,0.100578035,41.20336416,5.945324516,0.301734104,0.23583815,0.230057803,127090,127715
120.935248,-0.450289017,97586.9976,0.100578035,41.20336416,5.945324516,0.301734104,0.23583815,0.230057803,127090,127715
120.935248,-0.450289017,97586.9976,0.100578035,41.20336416,5.945324516,0.301734104,0.23583815,0.230057803,127090,127715
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
58.97114169,-0.756234097,43652.7134,0.061068702,73.59211196,6.331659126,0.208651399,0.305343511,0.249363868,35410,36035
145.9116307,-0.24749004,137909.068,0.067729084,56.13443028,5.584965324,0.278884462,0.258167331,0.255776892,134650,138275
76.95712387,-0.77337963,49879.6234,0.041666667,52.73935185,5.415641975,0.247685185,0.143518519,0.405092593,20400,20400
76.95712387,-0.77337963,49879.6234,0.041666667,52.73935185,5.415641975,0.247685185,0.143518519,0.405092593,20400,20400
76.95712387,-0.77337963,49879.6234,0.041666667,52.73935185,5.415641975,0.247685185,0.143518519,0.405092593,20400,20400
76.95712387,-0.77337963,49879.6234,0.041666667,52.73935185,5.415641975,0.247685185,0.143518519,0.405092593,20400,20400
76.95712387,-0.77337963,49879.6234,0.041666667,52.73935185,5.415641975,0.247685185,0.143518519,0.405092593,20400,20400
200.888771,-0.4125,197238.2325,0.080947137,42.6066685,5.792768669,0.262665198,0.300660793,0.241189427,180600,181850
104.9416658,-0.831333333,65948.3885,0.036666667,57.54033333,5.72638073,0.203333333,0.251666667,0.291666667,22920,23670
104.9416658,-0.831333333,65948.3885,0.036666667,57.54033333,5.72638073,0.203333333,0.251666667,0.291666667,22920,23670
104.9416658,-0.831333333,65948.3885,0.036666667,57.54033333,5.72638073,0.203333333,0.251666667,0.291666667,22920,23670
57.96774326,-0.285494505,50494.3728,0.07032967,57.5578022,6.233839226,0.276923077,0.263736264,0.248351648,46870,48745
57.96774326,-0.285494505,50494.3728,0.07032967,57.5578022,6.233839226,0.276923077,0.263736264,0.248351648,46870,48745
57.96774326,-0.285494505,50494.3728,0.07032967,57.5578022,6.233839226,0.276923077,0.263736264,0.248351648,46870,48745
57.96774326,-0.285494505,50494.3728,0.07032967,57.5578022,6.233839226,0.276923077,0.263736264,0.248351648,46870,48745
57.96774326,-0.285494505,50494.3728,0.07032967,57.5578022,6.233839226,0.276923077,0.263736264,0.248351648,46870,48745
57.96774326,-0.285494505,50494.3728,0.07032967,57.5578022,6.233839226,0.276923077,0.263736264,0.248351648,46870,48745
57.96774326,-0.285494505,50494.3728,0.07032967,57.5578022,6.233839226,0.276923077,0.263736264,0.248351648,46870,48745
57.96774326,-0.285494505,50494.3728,0.07032967,57.5578022,6.233839226,0.276923077,0.263736264,0.248351648,46870,48745
64.96821947,-0.368807339,49522.0881,0.087155963,37.66424312,7.794114876,0.311926606,0.224770642,0.254587156,30370,30370
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
59.96962163,0.056487342,68852.3097,0.128164557,42.92742089,6.059400368,0.306962025,0.273734177,0.256329114,106230,107105
49.97318503,-0.595899054,36153.6599,0.050473186,44.88422713,5.645612526,0.261829653,0.129337539,0.403785489,49960,50085
49.97318503,-0.595899054,36153.6599,0.050473186,44.88422713,5.645612526,0.261829653,0.129337539,0.403785489,49960,50085
49.97318503,-0.595899054,36153.6599,0.050473186,44.88422713,5.645612526,0.261829653,0.129337539,0.403785489,49960,50085
